PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO453398,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$151691.64,01/02/2013,"DC PREPARATORY ACADEMY,PCS",707 EDGEWOOD STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO453473,COUNCIL OF THE DISTRICT OF COLUMBIA,ADMINISTRATIVE CONSULTING 06,$8060.00,01/02/2013,"INTERIOR DIMENSIONS GROUP, INC","58 FLORIDA AVENUE, NW   ; WASHINGTON  ; DC  ; 20001-0001",WASHINGTON  ,DC
PO453405,STATE SUPERINTENDENT OF EDUCATION (OSSE),"ADVISORY SERVICES, EDUCATIONAL 05",$153071.31,01/02/2013,HOWARD UNIVERSITY PCMS,405 HOWARD PLACE NW  ; WASHINGTON  ; DC  ; 20059,WASHINGTON  ,DC
PO451116,DEPARTMENT OF HEALTH,INVENTORY MANAGEMENT 55,$6854.00,01/02/2013,EXECUTIVE INFORMATION SYS LLC,"6901 ROCKLEDGE DR, STE 600   ; BETHESDA  ; MD  ; 20817-",BETHESDA  ,MD
PO452920-V2,FIRE AND EMERGENCY MEDICAL SERVICES,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,$22800.00,01/02/2013,PREMIER OFFICE & MEDICAL SUPPLY DBA: PREMIER SUPPLIERS,1020 49TH STREET NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO453411,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$20864.00,01/02/2013,HR GENERAL MAINTENANCE CORP,"2021 SHANNON PLACE, SE  ; WASHINGTON  ; DC  ; 20020",WASHINGTON  ,DC
PO452898,STATE SUPERINTENDENT OF EDUCATION (OSSE),SPECIAL EDUCATION 74,$70000.00,01/02/2013,NATIONAL CHILDRENS CENTER,"6200  2ND STREET, N.W.   ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO453450,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$100000.00,01/02/2013,DC CHILDREN YOUTH INVESTMENT,1400 16TH STREET NW SUITE 500  ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO453396,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$500000.00,01/02/2013,DC CHILDREN YOUTH INVESTMENT,1400 16TH STREET NW SUITE 500  ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO453393,DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$213769.44,01/02/2013,EAST RIVER FAMILY STREGTHENING,"3917 MINNESOTA AVE, NE   ; WASHINGTON  ; DC  ; 20019-",WASHINGTON  ,DC
PO453397,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$154470.30,01/02/2013,HYDE LEADERSHIP PCS WASH,"1800 PERRY STREET, N.E.   ; WASHINGTON  ; DC  ; 20018-",WASHINGTON  ,DC
PO453467,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$129038.40,01/02/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO453439,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$41184.00,01/02/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO442514-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$44223.20,01/02/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO393951-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER NETWORK CONSULTING 30,$77822.08,01/02/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO377251-V4,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$172678.69,01/02/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO377318-V4,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$164130.24,01/02/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO453443,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$54667.20,01/02/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO377623-V4,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$142515.18,01/02/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO411954-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER NETWORK CONSULTING 30,$49555.20,01/02/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO443018-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER NETWORK CONSULTING 30,$74567.22,01/02/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO453463,DEPARTMENT OF HEALTH,EMPLOYMENT AGENCY AND SEARCH FIRM SERVICES (INCLUDING BACKGROUND INVESTIGATIONS AND DRUG TESTING FOR EMPLOYMENT) 30,$59475.00,01/02/2013,MAGNIFICUS CORPORATION,"37 L STREET, SE   ; WASHINGTON  ; DC  ; 20003-",WASHINGTON  ,DC
PO451048-V2,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$7655.00,01/02/2013,HOWARD UNIVERSITY THE LEARNING ACADEMY,"2244 10TH STREET, NW SUITE 402  ; WASHINGTON  ; DC  ; 20059-",WASHINGTON  ,DC
PO453460,DEPARTMENT OF HEALTH,EMPLOYMENT AGENCY AND SEARCH FIRM SERVICES (INCLUDING BACKGROUND INVESTIGATIONS AND DRUG TESTING FOR EMPLOYMENT) 30,$34000.00,01/02/2013,MOTIR SERVICES INC,4224 6TH STREET SE  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO453449,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$17750.00,01/02/2013,LYDIA'S HOUSE,3939 SOUTH CAPITOL ST. SW   ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO453448,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$75000.00,01/02/2013,"BYTE BACK, INC.",815 MONROE ST NE  ; WASHINGTON  ; DC  ; 20017,WASHINGTON  ,DC
PO449976-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$448425.00,01/02/2013,"F.S. TAYLOR & ASSOCIATES, PC",1420 N STREET N.W   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO453395,DEPARTMENT OF CORRECTIONS,,$21059.14,01/02/2013,LIEBERT GLOBAL SERVICES,610 EXECUTIVE CAMPUS DRIVE   ; WESTERVILLE  ; OH  ; 43082-,WESTERVILLE  ,OH
PO450247-V2,INAUGURAL EXPENSES,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENCY TYPE) RENTAL OR LEASE 14,$45360.00,01/02/2013,"ENTERPRISE HOLDINGS, INC.","ENTERPRISE RENT-A-CAR,ALAMO,NA 2273 RESEARCH BLVD, FLOOR 7  ; ROCKVILLE  ; MD  ; 20850",ROCKVILLE  ,MD
PO449769-V2,DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$9200.00,01/02/2013,BARBRA CHIKOWORE,"106 MICHIGAN AVE NE, APT D34  ; WASHINGTON  ; DC  ; 20017",WASHINGTON  ,DC
PO453401,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$262398.69,01/02/2013,WASHINGTON MATH SCIENCE PCHS,"1920 BLADENSBURG ROAD, NE  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO453400,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$152188.71,01/02/2013,TWO RIVERS PCS,"1227 4TH STREET, NE  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO453438,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$96669.14,01/02/2013,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO453412,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$342383.68,01/02/2013,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO453386,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$89782.58,01/02/2013,PAUL JUNIOR HIGH PCS,5800 8TH STREET NW  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO453451,DEPARTMENT OF HEALTH,ANALYTICAL STUDIES AND SURVEYS (CONSULTING) 12,$45824.20,01/02/2013,MACRO INTERNATIONAL INC,11785 BELTSVILLE DRIVE SUITE 300  ; CALVERTON  ; MD  ; 20705-,CALVERTON  ,MD
PO453437,OFFICE OF HUMAN RIGHTS,ANALYTICAL STUDIES AND SURVEYS (CONSULTING) 12,$20000.00,01/02/2013,THE URBAN INSTITUTE,2100 M STREET NW  ; WASHINGTON  ; DC  ; 20037,WASHINGTON  ,DC
PO453432,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$440000.00,01/02/2013,"FORNEY ENTERPRISES, INC.",1818 NEW YORK AVE NE                               STE 201  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO453387,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$84477.84,01/02/2013,ARTS & TECHNOLOGY ACAD PCS,5300 BLAINE STREET NE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO453113-V2,FIRE AND EMERGENCY MEDICAL SERVICES,"FIRE EXTINGUISHERS, RECHARGERS, AND PARTS 28",$5000.00,01/02/2013,"SILVER SPRING FIRE PROTECTION,",7389 WASHINGTON BLVD.                              SUITE 105  ; ELKRIDGE  ; MD  ; 21075,ELKRIDGE  ,MD
PO453441,METROPOLITAN POLICE DEPARTMENT,JANITORIAL/CUSTODIAL SERVICES 39,$32020.00,01/02/2013,SUPERIOR SERVICE & ASSOC. INC,"1539 FIRST STREET, S. W.  ; WASHINGTON  ; DC  ; 20024",WASHINGTON  ,DC
PO453457,"DEPART OF INSURANCE,SECURITIES & BANKING","NETWORKING SERVICES (INCLUDING INSTALLATION, SECURITY, AND MAINTENANCE ) 37",$3591.00,01/02/2013,LEXIS NEXIS RISK MANAGEMENT,"1150 EIGHTEEN STREET, N.W. SUITE 275  ; WASHINGTON  ; DC  ; 20036-",WASHINGTON  ,DC
PO453406,STATE SUPERINTENDENT OF EDUCATION (OSSE),"ADVISORY SERVICES, EDUCATIONAL 05",$317059.81,01/02/2013,HOPE COMMUNITY CHARTER SCHOOL,"2917 8TH STREET, N.E.  ; WASHINGTON  ; DC  ; 20017",WASHINGTON  ,DC
PO453453,FIRE AND EMERGENCY MEDICAL SERVICES,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,$61092.50,01/02/2013,TOTAL HEALTHCARE SOLUTIONS,"38 PORTER STREET, NE  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO453418,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,SOFTWARE MAINTENANCE/SUPPORT 45,$9991.81,01/02/2013,Q-MATIC CORPORATION,95 UNDERWOOD ROAD  ; FLETCHER  ; NC  ; 28732,FLETCHER  ,NC
PO449756-V2,DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$7000.00,01/02/2013,KATHERINE E. DILLON,317 E CUSTIS AVE  ; ALEXANDRIA  ; VA  ; 22301,ALEXANDRIA  ,VA
PO453408,STATE SUPERINTENDENT OF EDUCATION (OSSE),"ADVISORY SERVICES, EDUCATIONAL 05",$115292.53,01/02/2013,EARLY CHILDHOOD ACADEMY PCS,4025 9TH STREET SE  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO453462,HOMELAND SECURITY/EMERGENCY MANAGEMENT,SOFTWARE MAINTENANCE/SUPPORT 45,$98243.36,01/02/2013,IMTECH CORPORATION,TWO STEWART COURT  ; DENVILLE  ; NJ  ; 07834,DENVILLE  ,NJ
PO453403,STATE SUPERINTENDENT OF EDUCATION (OSSE),"ADVISORY SERVICES, EDUCATIONAL 05",$279805.28,01/02/2013,EXCEL ACADEMY PCS,2501 MARTIN LUTHER KING JR. AV S.E.  ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO453415,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$4720.00,01/02/2013,"ROBERT SILMAN ASSOCIATES, PLLC","1053 31ST STREET, NW  ; WASHINGTON  ; DC  ; 20007",WASHINGTON  ,DC
PO453413,DEPARTMENT OF TRANSPORTATION,EDUCATION AND TRAINING CONSULTING 38,$25000.00,01/02/2013,SKILLSOFT CORPORATION,107 NORTHEASTERN BLVD.  ; NASHUA  ; NH  ; 03062,NASHUA  ,NH
PO453499,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$285000.00,01/03/2013,UNITED MEDICAL CENTER LLC,6201 GREENBELT ROAD  #L5  ; BERWYN HEIGHTS  ; MD  ; 20740,BERWYN HEIGHTS  ,MD
PO452378,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$50451.50,01/03/2013,ACHIEVEMENT PREPARATORY ACADEM,"908 WAHLER PLACE, SE 2ND FLOOR  ; WASHINGTON  ; DC  ; 20032-",WASHINGTON  ,DC
PO453452,DEPARTMENT OF GENERAL SERVICES,"BUILDING CONSTRUCTION, NON-RESIDENTIAL (OFFICE BLDG., ETC.) 22",$100000.00,01/03/2013,"EXECUTIVE CONTRACTORS, LLC",6413 9TH ST NW   ; WASHINGTON  ; DC  ; 20012-,WASHINGTON  ,DC
PO453531,DEPARTMENT OF CORRECTIONS,MEDICAL CONSULTING 78,$5000.00,01/03/2013,DOCTORS ON CALL,"4013 16TH STREET, NW  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO453553,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$28882.00,01/03/2013,ESCHOOL SOLUTIONS INC.,604 COURTLAND STREET  #300  ; ORLANDO  ; FL  ; 32804,ORLANDO  ,FL
PO453532,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$196895.50,01/03/2013,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO453518,DEPARTMENT OF CORRECTIONS,APPLICATIONS SOFTWARE (FOR MINICOMPUTER SYSTEMS) 14,$6473.08,01/03/2013,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO453524,COUNCIL OF THE DISTRICT OF COLUMBIA,"TELEPHONE SERVICES, CELLULAR 75",$33000.00,01/03/2013,AT&T MOBILITY,5565 GLENRIDGE CONNECTOR                           SUITE 510  ; ATLANTA  ; GA  ; 30342,ATLANTA  ,GA
PO327380-V2,DEPARTMENT OF GENERAL SERVICES,ELECTRICAL ENGINEERING 31,$96550.00,01/03/2013,"DANIEL, MANN, JOHNSON & MENDEN",3101 WILSON BOULEVARD                              SUITE 900  ; ARLINGTON  ; VA  ; 22201,ARLINGTON  ,VA
PO452533,FIRE AND EMERGENCY MEDICAL SERVICES,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,$82020.00,01/03/2013,PHYSIO-CONTROL CORPORATION,11811 WILLOWS ROAD NORTHEAST   ; REDMOND  ; WA  ; 98053-,REDMOND  ,WA
PO449637,FIRE AND EMERGENCY MEDICAL SERVICES,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,$266335.90,01/03/2013,PHYSIO-CONTROL CORPORATION,11811 WILLOWS ROAD NORTHEAST   ; REDMOND  ; WA  ; 98053-,REDMOND  ,WA
PO453490,LOTTERY & CHARITABLE GAMES CONTROL BOARD,NEWSPAPER AND PUBLICATION ADVERTISING 71,$6117.82,01/03/2013,"THOMSON  & REGULATORY, INC",7322 NEWMAN BOULEVARD   ; DEXTER   ; MI  ; 48130-,DEXTER   ,MI
PO453521,DEPARTMENT OF GENERAL SERVICES,RECYCLED OFFICE SUPPLIES 73,$10000.00,01/03/2013,PREMIER OFFICE & MEDICAL SUPPLY DBA: PREMIER SUPPLIERS,1020 49TH STREET NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO453543,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$631226.25,01/03/2013,"CTI CONSULTANTS, INC.",14221-B WILLARD ROAD                               SUITE 100  ; CHANTILLY  ; VA  ; 20151,CHANTILLY  ,VA
PO453515,COUNCIL OF THE DISTRICT OF COLUMBIA,PHOTOGRAPHIC AND RECORDING EQUIPMENT RENTAL OR LEASE 61,$19000.00,01/03/2013,PROJECTION VIDEO SERV. INC.,5803 ROLLING ROAD SUITE 207  ; SPRINGFIELD  ; VA  ; 22152,SPRINGFIELD  ,VA
PO453528,DEPARTMENT OF PARKS AND RECREATION,MEMBERSHIP DUES 48,$4415.00,01/03/2013,POTOMAC VALLEY ASSOCIATION,7605 BURNSIDE ROAD   ; HYATTSVILLE  ; MD  ; 20785-,HYATTSVILLE  ,MD
PO353895-V3,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$812500.00,01/03/2013,HOWARD UNIVERSITY HOSPITAL,"2041 GEORGIA AVENUE, NW SUITE 2078  ; WASHINGTON  ; DC  ; 20060-",WASHINGTON  ,DC
