Name,Address/Phone,CBE#,Certification Categories,Email Address (Public Contact),Expiration Date,Public Contact Name/Phone,Address,AddwUnit,issuite
"A.H. Jordan Plumbing & Mechanical, LLC","1818 NEW YORK AVENUE NE, , WASHINGTON, DC / 2025291058",LSZ27652112013,"DZE, SBE, LBE",ahjordan_plumbing@verizon.net,11/10/2013,LaShawn Freshley / 2025291058,1818 NEW YORK AV NE,1818 NEW YORK AV NE ,N
"A.LEWTER, Inc.","1414 BELMONT STREET NW, Suite 416, WASHINGTON, DC / 2029075241",LSDR9506102013,"ROB, DBE, SBE, LBE",alewter@ymail.com,10/28/2013,Karen Purifoy / 2029075241,1414 BELMONT ST NW,1414 BELMONT ST NW 416,Y
AAA Termite & Pest Control,"6406 GEORGIA AVENUE NW, , WASHINGTON, DC / 2025820998",LSDR95512022015,"ROB, DBE, SBE, LBE",AAATermite55@yahoo.com,2/15/2015,Michael Wanamaker / 2027222680,6406 GEORGIA AV NW,6406 GEORGIA AV NW ,N
"ABC Technical Solutions, Inc","1200 G STREET NW, Suite 800, WASHINGTON, DC / 2023935999",LSDZ76036082014,"DZE, DBE, SBE, LBE",mohsen@abctsi.com,8/15/2014,Richard Walker / 2023935999,1200 G ST NW,1200 G ST NW 800,Y
"Abdo Construction, LLC","1404 14TH STREET NW, , WASHINGTON, DC / 2022659393",LSZR77908052014,"ROB, DZE, SBE, LBE",charlie@abdo.com,5/25/2014,Charlie Pham / 2022659393,1404 14TH ST NW,1404 14TH ST NW ,N
"Abdo Development, LLC","1404 14TH STREET NW, 2nd Floor, WASHINGTON, DC / 2022659393",LSZR39100052014,"ROB, DZE, SBE, LBE",gordon@abdo.com,5/25/2014,Gordon Buist / 2022659393,1404 14TH ST NW,1404 14TH ST NW 2,Y
absolute cleaning,"412 H STREET NE, , WASHINGTON, DC / 3015364678",LSDZV69755092013,"VOB, DZE, DBE, SBE, LBE",rcassidy@absolutecleaningllc.com,9/8/2013,reginald cassidy / 3015364678,412 H ST NE,412 H ST NE ,N
"Absolute Solutions and Associates, LLC","2636 12TH STREET NE, 1st Floor, WASHINGTON, DC / 2024069066",LSDZ28012062013,"DZE, DBE, SBE, LBE",info@absolute-saa.com,6/10/2013,Paula Keys Tilghman / 2026309469,2636 12TH ST NE,2636 12TH ST NE 1,Y
Access Green LLC,"1341 H STREET NE, Suite 201C, WASHINGTON, DC / 2023308745",LSDZR31263072013,"ROB, DZE, DBE, SBE, LBE",joeandronaco@gmail.com,7/15/2013,Grant Tinney / 8043070457,1341 H ST NE,1341 H ST NE 201,Y
"Accurate Conceptions, LLC","19 O STREET SW, , WASHINGTON, DC / 2024985388",LSDZR31697082014,"ROB, DZE, DBE, SBE, LBE",aclarke@accurateconceptions.com,8/16/2014,Aeon Clarke / 2024985388,19 O ST SW,19 O ST SW ,N
"Accurate Mailing Services, Inc.","719 7TH STREET NE, , WASHINGTON, DC / 2027141722",LSDZR1919102013,"ROB, DZE, DBE, SBE, LBE",accumailinc@att.net,10/28/2013,Philip B. Edwards / 2027141722,719 7TH ST NE,719 7TH ST NE ,N
Acosta Consulting LLC,"5165 MACARTHUR BOULEVARD NW, Suite 400, WASHINGTON, DC / 2026218426",LSDR59945042014,"ROB, DBE, SBE, LBE",customerservice@acostaconsultingllc.com,4/20/2014,Teofilo Acosta / 2026218426,5165 MACARTHUR BLVD NW,5165 MACARTHUR BLVD NW 400,Y
"Acumen TSC, Inc.","2828 10TH STREET NE, , WASHINGTON, DC / 2027222929",LSD38087052013,"DBE, SBE, LBE",soyenuga@acumentsc.com,5/6/2013,Seyi Oyenuga / 2027222929,2828 10TH ST NE,2828 10TH ST NE ,N
"Acute Building Construction, LLC","2017 VERMONT AVENUE NW, , WASHINGTON, DC / 2022320911",LSDZ55876082013,"DZE, DBE, SBE, LBE",info@acutebuildingconstruction.com,8/19/2013,Yosef Kassa / 2022320911,2017 VERMONT AV NW,2017 VERMONT AV NW ,N
Ad Box Agency Group,"2011 GALLAUDET STREET NE, , WASHINGTON, DC / 2025291119",LSDZ70486082013,"DZE, DBE, SBE, LBE",adboxagency@live.com,8/8/2013,Cheree Sloan / 2025291119,2011 GALLAUDET ST NE,2011 GALLAUDET ST NE ,N
"Adams Investment Group, LLC","1228 31ST STREET NW, , WASHINGTON, DC / 2029652250",LS84632072013,"SBE, LBE",dyurechko@adamsinvestment.com,7/29/2013,Douglas Yurechko / 2029652250,1228 31ST ST NW,1228 31ST ST NW ,N
"Adera and Associates, LLC","3406 13TH STREET NW, #4, WASHINGTON, DC / 2024681215",LSDZR17947082013,"ROB, DZE, DBE, SBE, LBE",tsion@aderainc.com,8/19/2013,Tsion Adera / 2024681215,3406 13TH ST NW,3406 13TH ST NW 4,Y
"Admiral Construction & Flooring, LLC","1808 9TH STREET NW, , WASHINGTON, DC / 2026431860",LSDZRV44972012015,"VOB, ROB, DZE, DBE, SBE, LBE",hq@admiraldc.com,1/18/2015,Alex Nusraty / 2026431860,1808 9TH ST NW,1808 9TH ST NW ,N
Advanced Air Mechanical Systems,"2014 5TH STREET NE, , WASHINGTON, DC / 2025263097",LSDZ2067122014,"DZE, DBE, SBE, LBE",kkangaams@aol.com,12/20/2014,Kultar Kang / 2023917152,2014 5TH ST NE,2014 5TH ST NE ,N
"Advanced Consulting Engineering, P.C.","4400 MACARTHUR BOULEVARD NW, , WASHINGTON, DC / 2029650800",LS11691022015,"SBE, LBE",gtk@acelimited.net,2/22/2015,George Konstantopoulos / 2029650800,4400 MACARTHUR BLVD NW,4400 MACARTHUR BLVD NW ,N
Advanced Network Consulting Inc.,"1200 G STREET NW, Suite 838, WASHINGTON, DC / 2024348766",LSDZ48365112014,"DZE, DBE, SBE, LBE",cbarrow@ancsweb.com,11/9/2014,Hoang Trinh / 2024348766,1200 G ST NW,1200 G ST NW 838,Y
"AEPA Architects Engineers, P.C.","2421 PENNSYLVANIA AVENUE NW, , WASHINGTON, DC / 2028228320",LSDZ81853062013,"DZE, DBE, SBE, LBE",aliu@aepa.com,6/17/2013,Alfred Liu / 2028228320,2421 PENNSYLVANIA AV NW,2421 PENNSYLVANIA AV NW ,N
"AF Development, LLC","2642 12TH STREET NE, #2, WASHINGTON, DC / 2022696774",LSDZR38081122013,"ROB, DZE, DBE, SBE, LBE",afloyd@aefdevelopment.com,12/12/2013,Anthony Floyd / 2022696774,2642 12TH ST NE,2642 12TH ST NE 2,Y
"Affordable Home Improvements, LLC","6309 GEORGIA AVENUE NW, , WASHINGTON, DC / 2027266666",LSDR34543052014,"ROB, DBE, SBE, LBE",ahi6309@gmail.com,5/4/2014,Sydney Paskel / 2027266666,6309 GEORGIA AV NW,6309 GEORGIA AV NW ,N
AJArchitects pllc,"1777 CHURCH STREET NW, , WASHINGTON, DC / 2022498400",LSZR76543062013,"ROB, DZE, SBE, LBE",info@ajarchitects.com,6/17/2013,Anton Janezich / 2025886392,1777 CHURCH ST NW,1777 CHURCH ST NW ,N
Alex's Towing,"916 TAYLOR STREET NW, , WASHINGTON, DC / 2028828820",LSZ13987052013,"DZE, SBE, LBE",iamthe_champ@yahoo.com,5/13/2013,Alex Berry / 2028828820,916 TAYLOR ST NW,916 TAYLOR ST NW ,N
"Alicia Smith & Associates, LLC","900 2ND STREET NE, Suite 221, WASHINGTON, DC / 2029620900",LSZR15053062013,"ROB, DZE, SBE, LBE",rwilliams@aliciasmithassociates.com,6/24/2013,Alicia Smith / 2029620900,900 2ND ST NE,900 2ND ST NE 221,Y
"Aligned Development Strategies, Inc.","1900 L STREET NW, , WASHINGTON, DC / 2026592807",LSDZ24174062013,"DZE, DBE, SBE, LBE",dgjames@goADSI.com,6/3/2013,Dale James / 2026592807,1900 L ST NW,1900 L ST NW ,N
"All American Environmental Contractors, LLC","1404 NORTH CAPITOL STREET NW, , WASHINGTON, DC / 2027583170",LSDZ42924032014,"DZE, DBE, SBE, LBE",info@aaec-envcontractors.com,3/16/2014,Rosita Zanwonjah / 2023794730,1404 N CAPITOL ST NW,1404 N CAPITOL ST NW ,N
"All Labor Solutions, LLC","4414 GEORGIA AVENUE NW, , WASHINGTON, DC / 2027224580",LSDR37534032013,"ROB, DBE, SBE, LBE",jcook@alllaborsolutions.com,3/25/2013,James Cook / 2027224580,4414 GEORGIA AV NW,4414 GEORGIA AV NW ,N
"All N' 1 Medical Supplies & Treasures, LLC","3938 EAST CAPITOL STREET NE, , WASHINGTON, DC / 2022882464",LSDZR31209102013,"ROB, DZE, DBE, SBE, LBE",alln1medical@hotmail.com,10/28/2013,Evie Washington / 2022882464,3938 E CAPITOL ST NE,3938 E CAPITOL ST NE ,N
"Allegiance Protective Consultants, LLC","1200 NORTH CAPITOL STREET NW, C-505, WASHINGTON, DC / 2027348729",LSZ9771082014,"DZE, SBE, LBE",TeArriaCannon@allegianceprotective.org,8/3/2014,TeArria Cannon / 2027348729,1200 N CAPITOL ST NW,1200 N CAPITOL ST NW 505,Y
"Alliance Construction, LLC","1750 K STREET NW, 1750 K St. NW, Suite 200, WASHINGTON, DC / 2028284410",LSD72507042013,"DBE, SBE, LBE",lewisaskew@allianceconstruction.co,4/14/2013,Lewis Askew / 2028824410,1750 K ST NW,1750 K ST NW 1750,Y
"ALLSTATE FLOORS OF DC, LLC","6031 KANSAS AVENUE NW, Suite 200, WASHINGTON, DC / 2022915960",LSD66168052013,"DBE, SBE, LBE",khiannewilliams@allstatefloorsdc.com,5/27/2013,Khianne Williams / 2022915960,6031 KANSAS AV NW,6031 KANSAS AV NW 200,Y
Alpha Landscape Services,"1629 K STREET NW, 300, WASHINGTON, DC / 2025081049",LSDZXR22553072013,"ROB, LRB, DZE, DBE, SBE, LBE",alphaosow@verizon.net,7/29/2013,Alpha O. Sow / 2025081049,1629 K ST NW,1629 K ST NW 300,Y
ALPHA TAU MECHANICAL SOLUTIONS,"1402 NORTH CAPITOL STREET NW, , WASHINGTON, DC / 2029863762",LSDZ6289012014,"DZE, DBE, SBE, LBE",jagbormbai@alphtaumechsolns.com,1/27/2014,JAMES AGBORMBAI / 2029863762,1402 N CAPITOL ST NW,1402 N CAPITOL ST NW ,N
"AlphaGraphics (Kaleidoscope Holdings, LLC dba)","1325 G STREET NW, , WASHINGTON, DC / 2026381767",LSZR38149072013,"ROB, DZE, SBE, LBE",pchallapalli@alphagraphics.com,7/15/2013,Pavani Challapalli / 2026381767,1325 G ST NW,1325 G ST NW ,N
"ALPHATEC, PC","1525 18TH STREET NW, , WASHINGTON, DC / 2027975000",LSXR45955052014,"ROB, LRB, SBE, LBE",consult@alphatecpc.com,5/31/2014,Anthoula Gianniotis / 2027975000,1525 18TH ST NW,1525 18TH ST NW ,N
Al's Office Products (dba Business Services Group),"717 KEARNY STREET NE, BROOKLAND (Ward 5), WASHINGTON, DC / 2025260586",LSDZRV68297062014,"VOB, ROB, DZE, DBE, SBE, LBE",al@aopbiz.com,6/26/2014,alton kimbrough / 2025260586,717 KEARNY ST NE,717 KEARNY ST NE 5,Y
"Alston Marketing Group, LLC","18 R STREET NE, , WASHINGTON, DC / 2026360020",LSDZR57102022014,"ROB, DZE, DBE, SBE, LBE",karen@alstonmarketing.com,2/10/2014,Karen Alston / 2026360020,18 R ST NE,18 R ST NE ,N
"Alternatives Renewable Solutions, LLC","3196 WESTOVER DRIVE SE, , WASHINGTON, DC / 2023270445",LSDZR97317072013,"ROB, DZE, DBE, SBE, LBE",daanens@ars-energy.net,7/15/2013,Curtis Pree / 2026691719,3196 WOVER DR SE,3196 WOVER DR SE ,N
"Amber Real Estate, LLC","1050 CONNECTICUT AVENUE NW, Suite 1000, WASHINGTON, DC / 2027721980",LSR87235082013,"ROB, SBE, LBE",glenn.williamson@amberreal.com,8/29/2013,Glenn Williamson / 2027721980,1050 CONNECTICUT AV NW,1050 CONNECTICUT AV NW 1000,Y
"AMERICAN BUSINESS SUPPLIES, LLC","2300 M STREET NW, , WASHINGTON, DC / 2022800065",LSD72130102013,"DBE, SBE, LBE",DKING@SHOPAOS.COM,10/12/2013,DUANE KING / 2022800065,2300 M ST NW,2300 M ST NW ,N
American Management Corporation,"1455 PENNSYLVANIA AVENUE NW, Suite 400, WASHINGTON, DC / 2022806364",LSDRV49374112014,"VOB, ROB, DBE, SBE, LBE",bgreene@amermgmt.com,11/16/2014,Brett Greene / 2022806364,1455 PENNSYLVANIA AV NW,1455 PENNSYLVANIA AV NW 400,Y
American Supply Company,"316 F STREET NE, SUITE 103, WASHINGTON, DC / 2025474090",LS4319072013,"SBE, LBE",miriam@americansupply.us,7/15/2013,Miriam Ramos / 2025474090,316 F ST NE,316 F ST NE 103,Y
AM-KI SERVICES,"2623 11TH STREET NW, , WASHINGTON, DC / 2023879012",LSDZR27211072014,"ROB, DZE, DBE, SBE, LBE",rehardy@verizon.net,7/25/2014,Rita Hardy / 2023879012,2623 11TH ST NW,2623 11TH ST NW ,N
"Ammka International, Inc.","7600 GEORGIA AVENUE NW, 304, WASHINGTON, DC / 2023866101",LSD33613022015,"DBE, SBE, LBE",ammka@aol.com,2/22/2015,Moses Kassa / 2023866013,7600 GEORGIA AV NW,7600 GEORGIA AV NW 304,Y
"AMT, LLC","10 G STREET NE, , WASHINGTON, DC / 2022894545",LSZ9344062014,"DZE, SBE, LBE",amtllc@amt-llc.com,6/12/2014,Elizabeth A Tuomey / 2022894545,10 G ST NE,10 G ST NE ,N
Anacostia Holding Company,"1800 MARTIN LUTHER KING JR AVENUE SE, , WASHINGTON, DC / 2028895100",LZ85912082013,"DZE, LBE",Amanda@aedc.net,8/19/2013,Albert Hopkins / 2028895100,1800 MARTIN LUTHER KING JR AV SE,1800 MARTIN LUTHER KING JR AV SE ,N
Analytica,"700 12TH STREET NW, Suite 700, WASHINGTON, DC / 2024704806",LSZR15830102013,"ROB, DZE, SBE, LBE",contact@analytica.net,10/21/2013,Mariano Lopez /,700 12TH ST NW,700 12TH ST NW 700,Y
"Anchor Construction Corporation (formerly C & F Construction Company, Inc.)","2254 25TH PLACE NE, , WASHINGTON, DC / 2022696694",LZX92450122013,"LRB, DZE, LBE",ssamuel@anchorconst.com,12/2/2013,Florentino Gregorio / 2022696694,2254 25TH PLACE NE,2254 25TH PLACE NE ,N
Andean Consulting Solutions International,"4301 MILITARY ROAD NW, 311, WASHINGTON, DC / 2026181455",LSD43891012014,"DBE, SBE, LBE",andres@acsitranslations.com,1/20/2014,andres echeverri / 2026181455,4301 MILITARY RD NW,4301 MILITARY RD NW 311,Y
Anjata Group LLC,"451 ORANGE STREET SE, #4 , WASHINGTON, DC / 2022482025",LSDZRV92024012014,"VOB, ROB, DZE, DBE, SBE, LBE",anjatagroup@YAHOO.COM,1/7/2014,Rufus White / 7039663073,451 ORANGE ST SE,451 ORANGE ST SE 4,Y
"Ankh International Technologies, LLC","1425 K STREET NW, , WASHINGTON, DC / 2022669915",LSDZR30850112013,"ROB, DZE, DBE, SBE, LBE",tsmousa@ankhit.com,11/17/2013,Tarek Mousa /,1425 K ST NW,1425 K ST NW ,N
"ANR Construction Management, LLC","3149 HAWTHORNE DRIVE NE, , WASHINGTON, DC / 2024837806",LSDZR39174072014,"ROB, DZE, DBE, SBE, LBE",adefoe@anr-cm.com,7/25/2014,Allison DeFoe / 2027440325,3149 HAWTHORNE DR NE,3149 HAWTHORNE DR NE ,N
Answer Title & Escrow LLC (d/b/a Answer Title),"10 G STREET NE, Suite 510, WASHINGTON, DC / 2022040600",LSDZR16049062013,"ROB, DZE, DBE, SBE, LBE",dfshuler@answertitle.com,6/24/2013,Donna Fitzgerald Shuler / 2022040600,10 G ST NE,10 G ST NE 510,Y
Apex International Consulting Inc.,"310 K STREET NE, suite B, WASHINGTON, DC / 2026294981",LSDZR16850052013,"ROB, DZE, DBE, SBE, LBE",nammons@apexinternationalinc.com,5/13/2013,Nnamnse Ammons / 2026294981,310 K ST NE,310 K ST NE ,N
"APex Service, INc.","3705 BENNING ROAD NE, , WASHINGTON, DC / 2022533789",LSDZ96562042013,"DZE, DBE, SBE, LBE",jhwang@apexsvcs.com,4/14/2013,Jay B Hwang / 2022533789,3705 BENNING RD NE,3705 BENNING RD NE ,N
"AQ Contractors, LLC","6230 3RD STREET NW, , WASHINGTON, DC / 2025457940",LSD16191082013,"DBE, SBE, LBE",vicenteaquino@hotmail.com,8/12/2013,vicente aquino / 3019389395,6230 3RD ST NW,6230 3RD ST NW ,N
ARC Consultants LLC,"4116 AMES STREET NE, # 204, WASHINGTON, DC / 2023881650",LSDZR80644032013,"ROB, DZE, DBE, SBE, LBE",Scodlin@ARCbuilderscorp.com,3/25/2013,Suzannah Codlin / 2023881650,4116 AMES ST NE,4116 AMES ST NE 204,Y
"Architrave P.C., Architects","420 10TH STREET SE, , WASHINGTON, DC / 2025441640",LSZXR62744012015,"ROB, LRB, DZE, SBE, LBE",robert.weinstein@architravepc.com,1/11/2015,Robert A. Weinstein / 2025441640,420 10TH ST SE,420 10TH ST SE ,N
"Are Times, LLC","643 11TH STREET NE, , WASHINGTON, DC / 2402477368",LSZR34011112014,"ROB, DZE, SBE, LBE",alao@areitmes.com,11/20/2014,Arelowo Alao / 2402477368,643 11TH ST NE,643 11TH ST NE ,N
"Arent Fox, LLP","1050 CONNECTICUT AVENUE NW, , WASHINGTON, DC / 2028578980",L26947082014,LBE,Salisbury.Kurt@ARENTFOX.COM,8/16/2014,Margaret D. Anderson / 2028576000,1050 CONNECTICUT AV NW,1050 CONNECTICUT AV NW ,N
Arinzeh Interiors,"1006 OTIS PLACE NW, , WASHINGTON, DC / 2026292778",LSDZR84673122013,"ROB, DZE, DBE, SBE, LBE",ugo@arinzehinteriors.com,12/20/2013,Ugo Arinzeh / 2025880332,1006 OTIS PLACE NW,1006 OTIS PLACE NW ,N
"ARJ Group, Inc.","412 H STREET NE, SUITE # 3, WASHINGTON, DC / 2025440268",LSDZ94576122013,"DZE, DBE, SBE, LBE",arjgroupinc@myway.com,12/8/2013,Neerja Jacob / 2025440268,412 H ST NE,412 H ST NE 3,Y
Armstrong Custom Signs,"4833 1ST STREET SW, , WASHINGTON, DC / 2025635087",LSZR32532042013,"ROB, DZE, SBE, LBE",armstrongwa@msn.com,4/29/2013,Willie Armstrong / 2027460599,4833 1ST ST SW,4833 1ST ST SW ,N
Arnold & Porter,"555 12TH STREET NW, , WASHINGTON, DC / 2029425000",LZ9375022015,"DZE, LBE",cara.costello@aporter.com,2/4/2015,Cara Costello / 2029426358,555 12TH ST NW,555 12TH ST NW ,N
"Aroli Group, LLC","2600 12TH STREET NE, , WASHINGTON, DC / 2022437777",LSDZR65001072014,"ROB, DZE, DBE, SBE, LBE",mark@menkitigroup.com,7/25/2014,Obiora Menkiti / 2022437700,2600 12TH ST NE,2600 12TH ST NE ,N
"Arrow Construction Company, LLC.","1111 GOOD HOPE ROAD SE, , WASHINGTON, DC / 2026783116",LSDZR78858122014,"ROB, DZE, DBE, SBE, LBE",cristina.gomez@arrowconstruction.com,12/20/2014,Maria Gomez / 2026783116,1111 GOOD HOPE RD SE,1111 GOOD HOPE RD SE ,N
Artisys Corporation,"1325 G STREET NW, Suite 500, WASHINGTON, DC / 2024497650",LSD7878092013,"DBE, SBE, LBE",zfowler@artisys.com,9/2/2013,Zachary Fowler / 2024497699,1325 G ST NW,1325 G ST NW 500,Y
Arts-Aide,"4910 43RD PLACE NW, , WASHINGTON, DC / 2023528599",LSXR22325042013,"ROB, LRB, SBE, LBE",joan.oshinsky@gmail.com,4/1/2013,Joan Oshinsky / 2023637253,4910 43RD PLACE NW,4910 43RD PLACE NW ,N
"Aspen of D.C., Inc.","1101 15TH STREET NW, 202, WASHINGTON, DC / 2023809930",LSDZ86977032014,"DZE, DBE, SBE, LBE",Robin.Ratliff@aspenofdc.com,3/2/2014,Brandy Butler / 2023809930,1101 15TH ST NW,1101 15TH ST NW 202,Y
ASU Holdings llc.,"909 FRANKLIN STREET NE, , WASHINGTON, DC / 2026367280",LSZ34648112014,"DZE, SBE, LBE",Asuholdingsllc@hotmail.com,11/9/2014,Mohammad Rahim / 2026367280,909 FRANKLIN ST NE,909 FRANKLIN ST NE ,N
Atelier Architects,"1003 K STREET NW, Suite 830, WASHINGTON, DC / 2028989070",LSZ53698052013,"DZE, SBE, LBE",cfaust@atelierarchitects.com,5/6/2013,Cynthia Faust / 2028989070,1003 K ST NW,1003 K ST NW 830,Y
Atlantic Electric Supply Corp.,"3726 10TH STREET NE, , WASHINGTON, DC / 2025261300",LSX47090082013,"LRB, SBE, LBE",mglessans@atlanticelectricsupply.com,8/12/2013,Richard Shofnos / 2025261300,3726 10TH ST NE,3726 10TH ST NE ,N
"Atlas Glass Company, Inc.","1107 W STREET SE, , WASHINGTON, DC / 2023888600",LSDZR2077072013,"ROB, DZE, DBE, SBE, LBE",jamesjwashington@aol.com,7/1/2013,James J. Washington / 2023888600,1107 W ST SE,1107 W ST SE ,N
"AtSite Real Estate, Inc.","2021 L STREET NW, Second Floor, WASHINGTON, DC / 2027289800",LS49895062014,"SBE, LBE",Hriedlinger@atsiteres.com,6/11/2014,AtSite Admin / 2027289800,2021 L ST NW,2021 L ST NW ,N
Audubon Enterprises,"1245 13TH STREET NW, Suite 106, WASHINGTON, DC / 2024875445",LSDZR44299092014,"ROB, DZE, DBE, SBE, LBE",matt@audubonenterprises.com,9/7/2014,Matt Sislen / 2024875445,1245 13TH ST NW,1245 13TH ST NW 106,Y
"Avid Systems, LLC","1420 N STREET NW, Suite 102, WASHINGTON, DC / 2026286765",LSDZ16737022015,"DZE, DBE, SBE, LBE",contracts@avidsys.com,2/1/2015,Esther Lazar / 2026286765,1420 N ST NW,1420 N ST NW 102,Y
"AVSmoot, LLC","3150 BLADENSBURG ROAD NE, , WASHINGTON, DC / 2026361091",LSDZ73333022015,"DZE, DBE, SBE, LBE",adrienne@avsmoot.com,2/1/2015,Adrienne Smoot / 2026361091,3150 BLADENSBURG RD NE,3150 BLADENSBURG RD NE ,N
Axellon Corporation,"7826 EASTERN AVENUE NW, Suite 211, WASHINGTON, DC / 2023866484",LSDZ92445092013,"DZE, DBE, SBE, LBE",rholmes@axellonusa.com,9/8/2013,Ronda Holmes / 2023866484,7826 EERN AV NW,7826 EERN AV NW 211,Y
"B & W Stat Laboratory, Inc.","3104 GEORGIA AVENUE NW, , WASHINGTON, DC / 2027260842",LSZX5185072013,"LRB, DZE, SBE, LBE",bwstatlab@aol.com,7/22/2013,Clifton West / 2027260842,3104 GEORGIA AV NW,3104 GEORGIA AV NW ,N
"B&B Floor Services, LLC","3215 MARTIN LUTHER KING JR AVENUE SE, B-101, WASHINGTON, DC / 2023888312",LSDZ81631042013,"DZE, DBE, SBE, LBE",info@bbfloorservices.com,4/8/2013,Lee or Corey Bellamy / 2023888312,3215 MARTIN LUTHER KING JR AV SE,3215 MARTIN LUTHER KING JR AV SE 101,Y
"Baah Engineering and Environmental Solutions, PLLC","2605 DOUGLASS ROAD SE, #203, WASHINGTON, DC / 2023022644",LSZR42845042013,"ROB, DZE, SBE, LBE",Kwame@BaahEngineering.com,4/14/2013,Kwame Amos Baah / 2023022644,2605 DOUGLASS RD SE,2605 DOUGLASS RD SE 203,Y
"Bacon Funeral Home, Inc.","3447 14TH STREET NW, , WASHINGTON, DC / 2023323352",LSZR42085022015,"ROB, DZE, SBE, LBE",baconinc.3447@yahoo.com,2/1/2015,Wendell Bacon / 2023323352,3447 14TH ST NW,3447 14TH ST NW ,N
"Bailey Building Construction Group, Inc.","7600 GEORGIA AVENUE NW, Suite 306, WASHINGTON, DC / 2028296432",LSD76467012014,"DBE, SBE, LBE",bbcg10719@verizon.net,1/6/2014,John Bailey / 3013463713,7600 GEORGIA AV NW,7600 GEORGIA AV NW 306,Y
