Company Name,Business Structure,Certification Categories,Company Status,Email Address (Public Contact),Expiration Date,NIGP Codes
HAWK CONTRACTORS,Sole Proprietorship,"DZE, DBE, SBE, LBE",Active,lamondhawkins@yahoo.com,2/10/14,"Carpentry Maintenance and Repair Services,"
,,,,,,"Door Installation, Maintenance, and Repair (Metal),"
,,,,,,"Door Installation, Maintenance, and Repair (Wood),"
,,,,,,"Flooring Maintenance and Repair to Include Refinishing and Sealing,"
,,,,,,"MAINTENANCE AND REPAIR, FLOORING, TO INCLUDE REFINISHING, SEALING, STRIPPING AND WAXING,"
,,,,,,"PREPARATION AND PATCHING OF FLOORS,"
,,,,,,"SEALING SERVICES, CONCRETE FLOOR,"
,,,,,,"Masonry, Concrete, and Stucco Maintenance and Repair (Includes Inside Concrete Sawing and Grouting Work),"
,,,,,,"SEALING SERVICES, CONCRETE JOINT/CRACK. THIS WORK INCLUDES THE REMOVAL OF EXISTING JOINT MATERIAL, CLEANING THE JOINT OR CRACK, AND REPLACING THE MATERIAL,"
,,,,,,"Painting, Maintenance and Repair Services (Including Caulking),"
,,,,,,"PAINTING SERVICES,"
,,,,,,"Panel Wall Systems Installation, Maintenance, and Repair,"
,,,,,,"Roofing, Gutters, and Downspouts Maintenance and Repair,"
,,,,,,"Wallpapering Services, Includes Maintenance and Repair,"
,,,,,,"Wall and Ceiling Repair and Replacement (Including Drywalling),"
,,,,,,"Siding Installation and Repair Services,"
,,,,,,"Carpentry,"
,,,,,,"Concrete,"
,,,,,,"Flooring,"
,,,,,,"Masonry,"
,,,,,,"Painting and Wallpapering,"
,,,,,,"PAINTING STRUCTURAL STEEL AND METAL RAILINGS. THIS WORK SHALL CONSIST OF THE CLEANING AND PREPARATION OF THE METAL SURFACES, THE FURNISHING, APPLICATION AND PROTECTION OF THE PAINT COATINGS AND INCIDENTAL WORK.,"
,,,,,,"Plastering,"
,,,,,,"Roofing and Siding,"
,,,,,,"Stucco,"
,,,,,,"Wood,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Roofing Consultant,"
,,,,,,"Utilities: Gas, Water, Electric Consulting,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,Installation and Removal Services (Not Otherwise Classified)
"Bowman Funeral Business Consultants, LLC",Limited Liability Corporation,"ROB, DZE, SBE, LBE",Active,cfbowman2@msn.com,5/22/14,"Counseling,"
,,,,,,"Mortuary and Funeral (Including Crematory Services),"
,,,,,,Cemetery Management Services
Capital Reporting Company,Corporation,"SBE, LBE",Active,edavis@capitalreportingcompany.com,7/29/13,"Communications: Public Relations Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Management Consulting,"
,,,,,,"Project Management Services,"
,,,,,,"Court Reporting Services,"
,,,,,,"PROFESSIONAL COURT REPORTER SERVICES,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,Transcription Services: Legal and Medical
"Graves, Horton, Askew & Johns, LLC",Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,laskew@ghajfirm.com,2/15/14,"Legal Consulting,"
,,,,,,"Malpractice, Legal,"
,,,,,,"Legal Services, Attorneys,"
,,,,,,"Legal Services Including Depositions and Expert Witness Testimony,"
,,,,,,Professional Services (Not Otherwise Classified)
"Diversified Enterprises Group, LLC",Limited Liability Corporation,"ROB, DZE, DBE, SBE, LBE",Active,ringram@diversifiedenterprisesgroup.com,6/29/14,"Medical Software, All Types,"
,,,,,,"Project Management,"
,,,,,,"SOFTWARE, ENGINEERING,"
,,,,,,"Energy Computerized Control Systems for HVAC, Lighting, Utilities, etc. Combination,"
,,,,,,"Computer Hardware Consulting,"
,,,,,,"CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING,"
,,,,,,"Computer Software Consulting,"
,,,,,,"CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"
,,,,,,"Computer Network Consulting,"
,,,,,,"Strategic Technology Planning and Consulting Services,"
,,,,,,"Facilities Management Services, Computer,"
,,,,,,"Networking Services (Including Installation, Security, and Maintenance ),"
,,,,,,"Programming Services, Computer"
"Ad Agency, The",Limited Liability Corporation,"DZE, DBE, SBE, LBE",Active,dgasper@theadagency.com,4/4/15,"Novelties and Advertising Specialty Products,"
,,,,,,"Desktop Publishing,"
,,,,,,"Graphics: Clip Art, Demos, Presentation, Slide Shows, etc.,"
,,,,,,"Internet and Web Site Software for Microcomputers,"
,,,,,,"Advertising, Outdoor Billboard, etc.,"
,,,,,,"Video Production,"
,,,,,,"VIDEO PRODUCTION, TV RELATED SERVICES,"
,,,,,,"Communications: Public Relations Consulting,"
,,,,,,"Marketing Consulting,"
,,,,,,"Marketing Services (Incl. Distribution, Research, Sales Promotions, etc.)"
Al's Office Products (dba Business Services Group),Limited Liability Corporation,"VOB, ROB, DZE, DBE, SBE, LBE",Active,al@aopbiz.com,6/26/14,"ADDRESSING, COPYING, MIMEOGRAPH, AND SPIRIT DUPLICATING MACHINE SUPPLIES: CHEMICALS, INKS, PAPER, ETC.,"
,,,,,,"Addressing Machine Supplies, Metal and Plastic Plate Type,"
,,,,,,"Recycled Copying and Duplicating Supplies,"
,,,,,,"Appliances, Small, Electric (Not Otherwise Classified),"
,,,,,,"Badges, Buttons, Emblems, and ID Cards, Celluloid and Plastic: Student, Faculty, Membership, Employee, etc.,"
,,,,,,"ACCESSORIES, I.D. CARD,"
,,,,,,"Card Holders, All Types (See Class 578 for Metal),"
,,,,,,"Folders, Presentation,"
,,,,,,"Nameplates, Metal, Adhesive Back,"
,,,,,,"Nameplates, Metal, Nonadhesive,"
,,,,,,"Nameplates, Plastic,"
,,,,,,"Trophies, Plaques, Awards, Certificates, etc. (Not Otherwise Classified),"
,,,,,,"BOOKBINDING SUPPLIES,"
,,,,,,"Bindings, Comb Type, Metal,"
,,,,,,"Bindings, Comb Type, Plastic,"
,,,,,,"Wire, Bookbinding,"
,,,,,,"Wall Clocks, Battery,"
,,,,,,"CLOCK, WALL, BATTERY, WHITE DIAL W/BLACK NUMERALS,"
,,,,,,"CLOCK, WALL, QUARTZ MOVEMENT, BATTERY OPERATED, BLACK DIAL W/WHITE NUMERALS,"
,,,,,,"CLOCK, WALL, QUARTZ CRYSTAL, BATTERY OPERATED, WHITE DIAL W/BLACK NUMERALS,"
,,,,,,"CLOCKS, WALL, BATTERY, QUARTZ, SOLID WALNUT,"
,,,,,,"COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS,"
,,,,,,"Cabinets and Cases: Desktop Cases, Tower Cases, Drive Cabinets, etc.,"
,,,,,,"Cameras, Digital, For Windows (Including Liquid Crystal Display),"
,,,,,,"CAMERAS, DIGITAL (BRAND LISTED OR EQUAL),"
,,,,,,"Communication Boards: Fax, Modem (Internal), etc.,"
,,,,,,"Communication Control Units: Concentrators, Multiplexors, Couplers, etc.,"
,,,,,,"REPEATERS, NETWORK, COMPUTER,"
,,,,,,"Drives, Hard/Fixed Disk,"
,,,,,,"Microcomputers, Desktop or Towerbased,"
,,,,,,"SERVERS, FILE, MICROCOMPUTER,"
,,,,,,"Microcomputers, Handheld, Laptop, and Notebook,"
,,,,,,"ACCESSORIES FOR LAPTOP COMPUTER,"
,,,,,,"MICROCOMPUTER PARTS, ACCESSORIES, AND OPTIONAL EQUIPMENT, PORTABLE,"
,,,,,,"Monitors, Color and Monochrome (CGA, VGA, SVGA, etc.),"
,,,,,,"OPTIONAL FEATURES AND ACCESSORIES, COMPUTER MONITOR,"
,,,,,,"Motherboards,"
,,,,,,"Network Components: Adapter Cards, Bridges, Connectors, Expansion Modules/Ports, Firewall Devices, Hubs, Line Drivers, MSAUs, Routers, Transceivers, etc.,"
,,,,,,"BATTERIES, MICROCOMPUTER,"
,,,,,,"DIGITIZERS, GRAPHIC, MICROCOMPUTER,"
,,,,,,"Power Supplies and Power Related Parts, Internal,"
,,,,,,"Printer Sharing Devices,"
,,,,,,"PRINTER SHARING DEVICES, FOR MICRO/WORKSTATIONS,"
,,,,,,"Printers, Inkjet,"
,,,,,,"PRINTERS, INKJET, W/ 6 FT. MIN. PRINTER CABLES, BRAND AND MODEL LISTED OR EQUAL,"
,,,,,,"PRINTERS, INKJET, MISCELLANEOUS,"
,,,,,,"Printers, Pen Plotter,"
,,,,,,"Printers, Thermal,"
,,,,,,"PRINTERS, LAMINATING CARD, THERMAL TRANSFER, AND PARTS AND ACCESSORIES,"
,,,,,,"Scanners, Document: Handheld, Desktop and High Volume,"
,,,,,,"Workstations: SPARC, RISC, etc. (For Use With CAD/CAM, etc.),"
,,,,,,"WARRANTY, EXTENDED, COMPUTER EQUIPMENT,"
,,,,,,"Cables: Printer, Disk, Network, etc.,"
,,,,,,"CABLE, ADAPTER CARD,"
,,,,,,"CABLE, DIAGNOSTIC,"
,,,,,,"CABLE, MODEM,"
,,,,,,"Computer Systems, Laboratory Control,"
,,,,,,"Computer Systems, Process Control,"
,,,,,,"Controllers, Local and Remote,"
,,,,,,"Controllers, Tape: Tape Subsystems, etc.,"
,,,,,,"Storage Devices, Electronic (Disk Drive Compatible),"
,,,,,,"COMPUTER ACCESSORIES AND SUPPLIES,"
,,,,,,"Batteries, Computer and Peripheral,"
,,,,,,"Battery Chargers, Computer and Peripheral,"
,,,,,,"Braces: Monitor, PC's, CRT's, Desk Top Printers, etc.,"
,,,,,,"BRACES, MONITOR (FOR PCS, CRTS, DESK TOP PRINTERS, ETC.),"
,,,,,,"Carts, Computer,"
,,,,,,"Cleaners for Keyboards, Monitors, Tapes, Diskettes, etc.,"
,,,,,,"CARTRIDGES, CLEANING, TAPE DRIVE,"
,,,,,,"CLEANING KITS, FOR DISK DRIVES,"
,,,,,,"CLEANERS, COMPUTER, NON-CONDUCTIVE,"
,,,,,,"CLEANERS, COMPUTER, COMPRESSED GAS, ENVIRONMENTALLY SAFE, TRIGGER NOZZLE, W/PLASTIC EXTENSION WAND,"
,,,,,,"CLEANERS, COMPUTER SCREEN,"
,,,,,,"CLEANERS, CRT SCREEN,"
,,,,,,"CLEANERS, DISKETTE,"
,,,,,,"CLEANERS, HEAD - DISK TYPE,"
,,,,,,"CLEANERS, KEYBOARD,"
,,,,,,"CLEANERS, PLOTTER,"
,,,,,,"CLEANERS, PRINTER,"
,,,,,,"CLEANERS, PRINTHEAD,"
,,,,,,"CLEANERS, TERMINAL,"
,,,,,,"PADS, CLEANING, STATIC CONTROL, FOR USE ON ALL SURFACES, PRE-MOISTENED,"
,,,,,,"GAS, DUSTING, REMOVES MICROSCOPIC LINT, DIRT, FERROUS OXIDE, ETC, FROM COMPUTER EQUIPMENT,"
,,,,,,"Compact Disks, DVD, ROM, etc.,"
,,,,,,"CASES, CD-ROM,"
,,,,,,"DISKS, CD-ROM, RECORDABLE,"
,,,,,,"DISKS, COMPACT, FOR CD ROM SPEED WRITERS,"
,,,,,,"DISKS, OPTICAL, EXTERNAL,"
,,,,,,"DIGITAL VIDEO DISC (DVD), REWRITABLE MEDIA,"
,,,,,,"Computer Instructional Aids and Training Devices,"
,,,,,,"Covers and Enclosures (Acoustical and Protective) (For Equipment),"
,,,,,,"CASE, TRANSIT, FIBER TESTER,"
,,,,,,"CASES, TONER, COMPUTER,"
,,,,,,"CRT Holders, Cases, Glare Screens, Locks, etc.,"
,,,,,,"CRT CASES AND HOLDERS,"
,,,,,,"FILTERS, ANTI-GLARE SCREEN,"
,,,,,,"SCREENS, GLARE,"
,,,,,,"SHIELD, RADIATION, FOR VIDEO DISPLAY TERMINAL,"
,,,,,,"Diskettes, Disk Packs, Floppy Diskettes, Labels, etc.,"
,,,,,,"DISKS, CARTRIDGE,"
,,,,,,"DISK PACKS, REMOVABLE,"
,,,,,,"DISK, OPTICAL, FORMATTED,"
,,,,,,"DISK, REMOVABLE MEDIA,"
,,,,,,"FLOPPY DISKETTES, HIGH CAPACITY,"
,,,,,,"FLOPPY DISKETTES, SOFT SECTORED, UNFORMATTED,"
,,,,,,"FLOPPY DISKETTES, SOFT SECTORED, FORMATTED,"
,,,,,,"FLOPPY DISKETTES, HARD SECTORED, DOUBLE SIDED,"
,,,,,,"FLOPPY DISKETTES, UNFORMATTED,"
,,,,,,"HOLDERS, DISKETTE,"
,,,,,,"LABELS, DISK, REMOVABLE, FOUR RULED LINES,"
,,,,,,"LABELS, DISK, USED W/PORTABLE INK JET PRINTERS,"
,,,,,,"DISKETTE, MICRO; THREE AND ONE HALF (3.5) INCH, DOUBLE SIDED (DS) HIGH DENSITY (2 MB - 1.44 MB WHEN FORMATTED), FOR USE WITH IBM PS/2 OR EQUAL,135 TRACKS/IN., 80 TRACKS/SIDE, SOFT SECTORED, WITH WRITE ENABLE, IBM PRE-FORMATTED,"
,,,,,,"Fasteners and Accessories, Thumb Lock,"
,,,,,,"Forms Bursters, Decollators, Detachers, Feeders, Strippers and Related Accessories,"
,,,,,,"BURSTER WITH STAND,"
,,,,,,"Forms, Charts, Templates, Rulers, etc.,"
,,,,,,"RULERS, DATA, FOR WORD PROCESSING,"
,,,,,,"Graphic Supplies for Plotters and Printer Plotters: Inks, Pens, Penholders, Chemicals, Paper, etc.,"
,,,,,,"CARTRIDGES, INK, PLOTTER PRINTERS,"
,,,,,,"FILM, ELECTROSTATIC, PLOTTER,"
,,,,,,"PAPER, HEWLETT PACKARD DESIGN JET PLOTTER (HEWLETT PACKARD OR EQUAL),"
,,,,,,"PAPER AND PEN KITS FOR PLOTTERS,"
,,,,,,"PAPER, PLOTTER, ELECTROGRAPHIC,"
,,,,,,"PAPER, PLOTTER, ELECTROSTATIC BOND,"
,,,,,,"PAPER, PLOTTER, NO. 1 BOND,"
,,,,,,"PAPER, PLOTTER, NON-GLOSSY, MEDIUM WEIGHT, FOR USE WITH FIBER-TIP PENS,"
,,,,,,"PAPER, PLOTTER, ELECTROSTATIC VELLUM,"
,,,,,,"PAPER, THERMAL, FOR PLOTTERS,"
,,,,,,"PENS, PLOTTER,"
,,,,,,"PENS, FIBER TIP PLOTTER,"
,,,,,,"PENS, PLOTTER, FOR PAPER,"
,,,,,,"PENS, PLOTTER, FOR TRANSPARENCIES,"
,,,,,,"SUPPLIES, CALCOMP INTEGRAPH THERMAL PLOTTER (CALCOMP OR EQUAL),"
,,,,,,"REPLENISHER, TONER, ELECTROSTATIC PLOTTER,"
,,,,,,"TONER, ELECTROSTATIC PLOTTER,"
,,,,,,"TONER, PLOTTER,"
,,,,,,"Keyboard Dust Covers, Key Top Covers, Keyboard Drawers, Wrist Supports, etc.,"
,,,,,,"ACCESSORIES, COMPUTER KEYBOARD DRAWER,"
,,,,,,"COVERS, DUST, F/KEYBOARD & MONITOR,"
,,,,,,"DRAWERS, KEYBOARD, PLASTIC, ADJUSTABLE, UNDER-DESK MOUNT, STEEL SLIDES, LOCKS INTO PLACE,"
,,,,,,"ERGONOMIC PACKS,"
,,,,,,"MONITOR ACCESSORIES, COMPUTER,"
,,,,,,"PADS, KEYBOARD, ANTI-STATIC,"
,,,,,,"RESTS, WRIST, COMPUTER,"
,,,,,,"WRIST ROLLER/MOUSE PAD/LAP BOARD, COMPUTER, A PATENTED UNIQUE WRIST REST DESIGNED FOR USE WITH A LAP BOARD FOR THE SMALL WORK STATION THAT HAS NO SPACE FOR MOUSE USE,"
,,,,,,"WRIST SUPPORTS, TO KEEP WRISTS IN PROPER POSITION FOR TYPING,"
,,,,,,"Power Supplies: Surge Protectors, Uninterruptible Power Supplies, Switches, etc.,"
,,,,,,"BATTERY BACK-UP SYSTEM,"
,,,,,,"POWER SUPPLIES, MAINFRAME COMPUTER (MISC),"
,,,,,,"POWER SUPPLIES, MICROCOMPUTER,"
,,,,,,"SURGE PROTECTORS,"
,,,,,,"SWITCHES, FOR COMPUTERS,"
,,,,,,"SWITCHES, COMPUTER KEYBOARD/MONITOR,"
,,,,,,"UNINTERRUPTIBLE POWER SUPPLY, COMPUTER,"
,,,,,,"Printer Accessories and Supplies: Chemicals, Forms Tractors, Inks and Cartridges, Paper, Label Sheets, Sheet Feeders, Toner Cartridges, Wheels, etc.,"
,,,,,,"ACCESSORIES AND SUPPLIES, MICROCOMPUTER PRINTER,"
,,,,,,"COLLECTION KIT, LASER PRINTER TONER,"
,,,,,,"COVERS, DUST, PRINTERS,"
,,,,,,"CARTRIDGES, INK, HEWLETT PACKARD, INKJET,"
,,,,,,"CARTRIDGES, INK, FOR CANON BUBBLE JET PRINTER (CANON OR EQUAL),"
,,,,,,"DEVELOPER FOR HEWLETT PACKARD PRINTERS,"
,,,,,,"DEVELOPER FOR PANASONIC PRINTERS,"
,,,,,,"CARTRIDGES, INK, FOR HEWLETT PACKARD PORTABLE DESKJET PRINTER,"
,,,,,,"DEVELOPER, FOR XEROX LASER PRINTER,"
,,,,,,"CARTRIDGES, INK, FOR IBM LEXMARK 4079 COLOR PRINTER,"
,,,,,,"DRUM UNIT, CADD SYSTEMS,"
,,,,,,"CARTRIDGE KITS, RE"
"Hire IT People, LLC",Limited Liability Corporation,"SBE, LBE",Active,contracts@hireitpeople.com,1/11/15,"Computer Hardware Consulting,"
,,,,,,Computer Software Consulting
DMD&C,Corporation,"ROB, DZE, DBE, SBE, LBE",Active,DMDC_Inc@yahoo.com,6/8/14,"Project Management,"
,,,,,,"Lead Abatement Services,"
,,,,,,"Business Consulting, Small,"
,,,,,,"Management Consulting,"
,,,,,,"Collection Services,"
,,,,,,"Research Services (Other Than Business),"
,,,,,,"Business Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Records Management Services (Including Document Management Services which also includes Technology Integration),"
,,,,,,"Business Plan Development Services,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,Fees (Not Otherwise Classified)
"Impact Remodeling and Construction, LLC",Limited Liability Corporation,"ROB, SBE, LBE",Active,jsullivan@impactbuilt.com,2/21/15,"SEALING SERVICES, CONCRETE FLOOR,"
,,,,,,"Painting, Maintenance and Repair Services (Including Caulking),"
,,,,,,"Remodeling and Alterations,"
,,,,,,"Tile and Stone (Includes Granite, Marble, and Terrazzo), Restoration, Refurbishing, Maintenance and Repair,"
,,,,,,"Wallpapering Services, Includes Maintenance and Repair,"
,,,,,,"Wall and Ceiling Repair and Replacement (Including Drywalling),"
,,,,,,"Window Installation, Maintenance and Repair (Metal),"
,,,,,,"Window Installation, Maintenance, and Repair (Wood),"
,,,,,,"CONSTRUCTION SERVICES, GENERAL (INCL. MAINTENANCE AND REPAIR SERVICES),"
,,,,,,"Demolition Services,"
,,,,,,"Excavation Services,"
,,,,,,"Carpentry,"
,,,,,,"Flooring,"
,,,,,,"Insulation,"
,,,,,,"Masonry,"
,,,,,,"Painting and Wallpapering,"
,,,,,,"PAINTING STRUCTURAL STEEL AND METAL RAILINGS. THIS WORK SHALL CONSIST OF THE CLEANING AND PREPARATION OF THE METAL SURFACES, THE FURNISHING, APPLICATION AND PROTECTION OF THE PAINT COATINGS AND INCIDENTAL WORK.,"
,,,,,,"Plastering,"
,,,,,,"Roofing and Siding,"
,,,,,,"Stucco,"
,,,,,,"Tile and Marble Work, All Types,"
,,,,,,"Trade Services, Construction (Not Otherwise Classified),"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"General Construction: Management, Scheduling, Cost Estimation - Engineering,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,Installation and Removal Services (Not Otherwise Classified)
Just Economics LLC,Limited Liability Corporation,"ROB, DZE, SBE, LBE",Active,r.rybeck@justeconomicsllc.com,10/22/14,"Planning, Urban (Community, Regional, Areawide, and State),"
,,,,,,"Community Development Consulting,"
,,,,,,"Economy Consulting,"
,,,,,,"Energy Conservation Consulting,"
,,,,,,"Environmental Consulting,"
,,,,,,"Finance/Economics Consulting,"
,,,,,,"Governmental Consulting,"
,,,,,,"Housing Consulting,"
,,,,,,"Legal Consulting,"
,,,,,,"Urban Planning Consulting,"
,,,,,,"Transportation Consulting,"
,,,,,,"Impact Studies, Environmental,"
,,,,,,"Planning and Advisory Services, Environmental,"
,,,,,,"Urban and Regional Development Services,"
,,,,,,"Environmental Impact Studies,"
,,,,,,"Legal Services, Attorneys,"
,,,,,,"Zoning, Land Use Studies"
"Nation Parking, LLC",Limited Liability Corporation,"DZE, DBE, SBE, LBE",Active,sam@nationparking.com,9/14/14,"Parking Management Services (Incl. Operations, Admissions, and Supervision),"
,,,,,,"Bus and Taxi Services, Limousines and Vans (Including Operations, Management, and Terminal Services),"
,,,,,,"Rental or Lease of Parking Spaces in a Parking Lot or Garage,"
,,,,,,RENTAL OF PARKING SPACES
"Kern Levine, LLC",Limited Liability Corporation,"ROB, SBE, LBE",Active,jerry@thetensquaregroup.com,5/10/15,"Administration of Contracts: Summary of Work, Quality Control, Project Closeout, etc.,"
,,,,,,"Painting, Maintenance and Repair Services (Including Caulking),"
,,,,,,"PAINTING SERVICES,"
,,,,,,"Painting and Wallpapering,"
,,,,,,"Accounting/Auditing/Budget Consulting,"
,,,,,,"Administrative Consulting,"
,,,,,,"Appraisals Consulting,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Community Development Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Economy Consulting,"
,,,,,,"Education and Training Consulting,"
,,,,,,"Feasibility Studies (Consulting),"
,,,,,,"Finance/Economics Consulting,"
,,,,,,"Governmental Consulting,"
,,,,,,"Housing Consulting,"
,,,,,,"Legal Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"Urban Planning Consulting,"
,,,,,,"Utilities: Gas, Water, Electric Consulting,"
,,,,,,"Financial Advisor,"
,,,,,,"Financial Services (Not Otherwise Classified),"
,,,,,,"Business Research Services,"
,,,,,,"Research Services (Other Than Business),"
,,,,,,"Construction Management Services,"
,,,,,,"Support Services, Management,"
,,,,,,"Project Management Services,"
,,,,,,Property Management Services
"Environmental Resources, LLC",Limited Liability Corporation,"ROB, DZE, DBE, SBE, LBE",Active,joei.jennings@hotmail.com,5/21/14,"Site Work (Incl. Site Clean-Up),"
,,,,,,"Construction Consulting,"
,,,,,,"Traffic Consulting,"
,,,,,,TRAFFIC AND SAFETY CONSULTING
Tina Boyd and Associates,Sole Proprietorship,"ROB, SBE, LBE",Active,tscottboyd@comcast.net,9/6/14,"Advertising/Public Relations (Incl. Skywriting),"
,,,,,,"Communications Marketing Services,"
,,,,,,"Business Consulting, Small,"
,,,,,,"Communications: Public Relations Consulting,"
,,,,,,"Disadvantage Business Enterprise (DBE) and Historically Underutilized Business (HUB) Consulting Including Technical Assistance,"
,,,,,,"Governmental Consulting,"
,,,,,,"Marketing Consulting,"
,,,,,,"Minority and Small Business Consulting,"
,,,,,,Business Research Services
"Capital Builders and Associates, Inc.",Corporation,"ROB, DZE, DBE, SBE, LBE",Active,cba@cbaincorp.com,12/20/14,"Administration of Contracts: Summary of Work, Quality Control, Project Closeout, etc.,"
,,,,,,"Building Construction, Industrial (Warehouse, etc.),"
,,,,,,"Building Construction, Non-Residential (Office Bldg., etc.),"
,,,,,,"Building Construction, Commercial and Institutional,"
,,,,,,"Acoustical Ceilings and Walls: Cleaning, Installation, Restoration, Maintenance and Repair (Including Panel Wall Systems),"
,,,,,,"Building Cleaning, Exterior,"
,,,,,,"Concrete Raising and Undersealing Services,"
,,,,,,"Carpet Cleaning, Dyeing, Installation and Repair,"
,,,,,,"Concrete,"
,,,,,,"Flooring,"
,,,,,,"Trade Services, Construction (Not Otherwise Classified),"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Engineering Consulting,"
,,,,,,"Feasibility Studies (Consulting),"
,,,,,,"Management Consulting,"
