Agency Code,Agency Name,Appropriation Title
JA0,Department of Human Services,Human Support Services
RL0,Child and Family Services Agency,Human Support Services
RM0,Department of Behavioral Health,Human Support Services
HC0,Department of Health,Human Support Services
HA0,Department of Parks and Recreation,Human Support Services
BY0,Office on Aging,Human Support Services
BH0,Unemployment Compensation Fund,Human Support Services
BG0,Employee's Compensation Fund,Human Support Services
HM0,Office of Human Rights,Human Support Services
BZ0,Office on Latino Affairs,Human Support Services
JY0,Children and Youth Investment Collaborative,Human Support Services
AP0, Office on Asian and Pacific Islander Affairs,Human Support Services
VA0,Office of Veterans' Affairs,Human Support Services
JZ0,Department of Youth Rehabilitation Services,Human Support Services
JM0,Department on Disability Services,Human Support Services
HT0  ,Department of Health Care Finance,Human Support Services
HG0,Deputy Mayor for Health and Human Services,Human Support Services
KT0,Department of Public Works,Public Works
KA0,Department of Transportation,Public Works
KV0,Department of Motor Vehicles,Public Works
KG0,District Department of the Environment,Public Works
TC0,DC Taxi Cab Commission,Public Works
KC0,Washington Metro Area Transit Commission,Public Works
KE0,Washington Metro Area Transit Authority,Public Works
KD0,School Transit Subsidy,Public Works
DS0,Debt Service,Financing and Other
ZA0,Debt Service,Financing and Other
CP0,Debt Service,Financing and Other
ZB0,Debt Service,Financing and Other
SM0,Debt Service,Financing and Other
DT,Debt Service,Financing and Other
ZH0,Settlements and Judgments,Financing and Other
ZZ0,John A. Wilson Building Fund,Financing and Other
UP0,Workforce Investments,Financing and Other
DO0,Non-Departmental,Financing and Other
EP0,Emergency Planning and Security Fund,Financing and Other
ELO,Master Equipment Lease Purchase Program,Financing and Other
SV0,Emergency and Contingency Reserve Funds,Financing and Other
PA0,Pay-As-You-Go Capital Fund,Financing and Other
RH0,District Retiree Health Contribution,Financing and Other
BO0,Baseball Transfer - Dedicated Taxes,Financing and Other
KZ0,Highway Transportation Fund Transfers,Financing and Other
SB0,Inaugural Expenses,Financing and Other
EZ0,Convention Center Transfer - Dedicated Taxes,Financing and Other
TZ0,TIF and PILOT Transfer - Dedicated Taxes,Financing and Other
LA0,Water and Sewer Authority,Enterprise and Other Funds
LB0,Washington Aqueduct,Enterprise and Other Funds
DC0,DC Lottery & Charitable Games Control Board,Enterprise and Other Funds
DY0,DC Retirement Board,Enterprise and Other Funds
ES0,Washington Convention Center and Sports Authority,Enterprise and Other Funds
HF0,Housing Finance Agency,Enterprise and Other Funds
GF0,University of the District of Columbia,Enterprise and Other Funds
UW0,DC Public Library Trust Funds,Enterprise and Other Funds
UI0,Unemployment Insurance Trust Fund,Enterprise and Other Funds
UZ0,Housing Production Trust Fund,Enterprise and Other Funds
TX0,Tax Increment Financing (TIF) Program,Enterprise and Other Funds
BK0,Ballpark Revenue Fund,Enterprise and Other Funds
TY0,Repayment of PILOT Financing,Enterprise and Other Funds
HW0,Not-for-Profit Hospital Corporation,Enterprise and Other Funds
HI0,DC Health Benefit Exchange Authority,Enterprise and Other Funds
